idTrenICHR,id
IMZMX  25,720
2APL 05,721
MMYMX-07,722
FMZXX-06,723
2MSLMX05,724
MLRMX-05,725
TMI 08,726
DJM 05,727
WAIRMX 06,728
TMXTEV 02,729
MRYMXW23,730
TPJM-04,731
IMZMX-28,732
IMZMX  28,733
DIRMX  24,734
MLRMX-02,735
2MLRMX01,736
INEMX  01,737
DIRMX-01,738
RTOMX  08,739
DIRMX-30,740
DIRMX  30,741
QCM 05,742
IMIMX  03,743
TMXTEV 05,744
APL 09,745
XDGDMX 28,746
IVM 08,747
OPMQ 31,748
GVM-05,749
GVM 05,750
INEMX 01,751
TMXTEO 08,752
LMXDX26,753
IMZMX-25,754
MLRMX-26,755
GVM 28,756
LMXXI08,757
2GVM 05,758
ISJMX  01,759
MMYMX25,760
TMXHUI-06,761
DIRMX-06,762
TMTQ 10,763
TMA 31,764
TPJM-08,765
DTM 10,766
DVM 04,767
RTOMX  10,768
IMZMX  04,769
RTOMX  03,770
CBPNTL 06,771
MVCMX09,772
QCTIR 30,773
MLRMX26,774
LMXXI10,775
APL 11,776
OPM 25,777
RTOMX  04,778
IVM 02,779
ILZPN2-21,780
ILZPN-30,781
TMTQ-07,782
ILZPN30,783
LESMX-08,784
TMI 10,785
TMXTE  10,786
AIRVC-11,787
GKCMXI28,788
DOM 02,789
2TMI-08,790
MMOMX12,791
TMA 29,792
TMTQ-29,793
QCTIR-28,794
QCTIR 28,795
VNLMX10,796
MMYMX28,797
2TMI-08M,798
APL 08,799
TMXHUI 08,800
MSLMX-08,801
GTPMX 11,802
FXXMZ 04,803
MMYMX09,804
2MLRMX09,805
DCM 09,806
TMTQ-09,807
DIRMX-08,808
DIRMX-28,809
TMTQ-12,810
ILZPN-03,811
TMTQ 12,812
MMYMX-10,813
OPMQ 26,814
DIRMX-02,815
TMTQ 09,816
TMXTE  29,817
MLRMX-11,818
TMTQ 07,819
QCTIR-06,820
DJZMX  03,821
TMA 12,822
OPJM 10,823
